zip_code,devices,households
33760,129,88
33761,491,367
33762,133,91
33763,520,360
33764,430,288
33765,255,172
33766,1,1
33767,203,134
33770,419,299
33771,811,605
33772,389,274
33773,446,313
33774,245,165
33776,190,114
33777,378,256
33778,376,232
33781,107,65
33782,91,8
34677,390,283
34681,23,14
34683,603,417
34684,318,219
34685,89,57
34689,817,564
34695,575,390
34698,1687,1214
35601,1067,744
35602,50,33
35603,195,133
35611,985,691
35613,697,486
35614,5,4
35671,38,26
35749,2154,1447
35756,1465,946
35757,2621,1776
35758,10803,7526
35801,2733,1997
35802,2352,1684
35803,3059,2232
35805,1231,901
35806,2840,1950
35808,231,167
35810,2039,1416
35811,1379,951
35816,764,541
35824,1391,969
35896,6,3
35898,10,2
36064,297,169
36066,2629,1872
36067,1530,1081
36104,449,314
36105,745,498
36106,1923,1283
36107,692,473
36108,1000,646
36109,3410,2373
36110,804,535
36111,1535,977
36112,18,13
36113,121,81
36115,134,89
36116,4632,3173
36117,7463,5083
36804,123,61
36830,3230,1733
36832,44,30
36854,943,702
36863,656,475
37317,267,165
37326,111,73
37333,54,33
37391,177,115
37909,694,465
37912,1063,746
37917,707,509
37918,663,475
37919,691,495
37921,984,694
37922,1321,920
37923,2169,1560
37931,418,287
37932,519,346
38701,5330,3747
38703,2938,2093
38723,14,8
38748,60,48
38751,1616,1197
38756,109,85
38760,143,113
38761,215,167
38780,4,1
38930,4823,3722
38954,190,142
40076,101,47
40383,11,7
40601,18972,9709
41005,108,64
41011,2030,1267
41014,10,9
41015,284,174
41016,273,129
41017,612,420
41018,773,414
41042,4327,2548
41051,262,159
41071,453,294
41073,433,272
41074,71,33
41075,1112,716
41076,1173,591
41091,2,2
41094,531,336
41132,6,5
41143,640,518
41146,23,20
41168,80,69
41203,185,117
41214,240,137
41219,1,1
41224,1888,1159
41230,86,45
41231,341,221
41240,1529,976
41250,309,184
41255,22,11
41256,104,65
41260,290,177
41262,400,254
41267,376,240
41501,1266,935
41503,327,192
41512,125,98
41513,54,44
41514,1524,875
41522,667,534
41527,375,201
41531,290,163
41534,50,34
41535,251,143
41540,67,49
41543,130,70
41548,157,113
41559,53,43
41562,327,241
41563,72,48
41567,169,87
41603,18,9
41653,3337,2079
42206,81,64
42256,56,42
42276,337,280
43412,1,1
43434,32,16
43460,2747,1264
43465,105,47
43504,41,25
43528,5322,2440
43537,10220,4885
43542,419,197
43551,10073,5058
43560,13213,6576
43566,2010,941
43603,4,1
43604,1994,1133
43605,8166,3790
43606,6952,3727
43607,5872,2775
43608,3157,1609
43609,4425,2436
43610,1171,557
43611,6053,3259
43612,7856,4360
43613,8936,4986
43614,10258,5478
43615,13458,6983
43616,9444,4205
43617,3046,1574
43619,1216,551
43620,1374,673
43623,7890,4113
43659,1,1
43660,1,1
43697,37,1
43722,39,30
43723,452,378
43725,58,44
43733,15,9
43750,12,10
43755,54,43
43768,15,15
43772,82,69
43773,39,34
43778,24,19
43780,69,59
44021,55,42
44023,211,148
44062,20,16
44065,51,35
44080,7,6
44231,101,81
44234,51,46
44255,43,30
44266,68,52
44285,8,5
44288,64,50
44412,2,2
44444,243,177
44470,1,1
44481,45,36
44491,13,11
44824,1098,703
44839,3625,2362
44847,13,10
44870,11476,7147
45011,398,263
45013,11,6
45014,2912,1769
45015,262,158
45034,454,244
45036,8344,5218
45039,243,154
45040,5559,3190
45044,119,93
45065,668,473
45069,1155,708
45102,369,274
45103,390,236
45140,702,485
45150,339,256
45174,804,440
45202,2684,1664
45203,1,1
45204,7,6
45205,18,14
45206,472,340
45207,84,29
45208,1726,1095
45209,745,553
45211,2128,1329
45212,609,416
45213,380,224
45214,40,25
45215,503,292
45216,2,2
45217,1,1
45218,1,1
45219,2228,1592
45220,1749,1438
45223,222,167
45224,1209,843
45225,162,110
45226,213,151
45227,666,457
45229,246,173
45230,1753,1201
45231,658,451
45232,59,45
45233,3,2
45236,948,683
45237,375,276
45238,5214,3142
45239,598,357
45240,829,497
45241,229,174
45242,1277,746
45243,2117,1214
45244,256,193
45245,539,401
45246,114,72
45247,722,504
45248,2629,1527
45249,504,325
45251,463,283
45255,279,205
45620,171,110
45631,2002,1247
45714,3263,2095
45723,3,2
45729,109,68
45742,21,11
45744,100,56
45750,9592,6231
45760,972,632
45768,15,10
45769,736,496
45771,438,271
45773,81,49
45775,195,135
45779,324,201
45788,6,5
48133,387,204
48140,67,30
48144,3842,2101
48177,47,26
48182,6942,3869
49267,781,458
49270,164,92
50588,1336,1021
56110,227,186
56123,61,52
56128,187,152
56129,87,67
56144,108,82
56151,53,44
56156,984,769
56164,743,574
56168,74,62
56172,313,240
56175,278,229
56187,1270,978
56258,2094,1679
57001,42,38
57003,14,13
57005,3,2
57013,150,122
57014,126,101
57015,38,32
57017,102,77
57018,30,21
57020,25,19
57025,492,363
57028,392,293
57031,82,64
57032,708,545
57035,22,21
57036,90,69
57037,105,87
57039,401,322
57042,1159,935
57049,510,372
57053,230,177
57055,35,29
57064,750,555
57069,693,557
57070,149,120
57073,69,47
57077,139,105
57078,3527,2668
57103,2173,1696
57104,1299,1031
57105,1460,1127
57106,4993,3863
57107,486,393
57108,2499,1861
57110,1006,764
57201,4157,3299
57216,49,40
57219,29,25
57252,138,99
57261,26,19
57273,41,29
57274,170,129
57301,978,786
57350,973,770
57362,156,128
57373,19,16
57384,19,16
57401,3252,2407
57427,16,10
57428,60,41
57436,19,15
57441,35,24
57451,209,150
57452,20,13
57469,297,235
57471,36,27
57472,60,50
57479,70,53
57501,1201,961
57532,215,157
57601,360,290
57703,785,619
57706,110,93
57717,177,154
57718,353,283
57719,641,522
57732,138,77
57754,152,121
57769,113,96
57783,803,661
57785,387,317
57793,34,29
58006,28,20
58011,36,25
58012,277,203
58030,26,22
58035,5,5
58038,21,15
58041,60,52
58042,107,82
58045,69,51
58046,24,18
58047,387,272
58048,26,19
58052,45,30
58053,51,39
58059,99,67
58064,26,15
58075,719,591
58078,3487,2342
58102,61,45
58103,9,2
58104,72,50
58201,4320,3440
58202,14,13
58203,1547,1217
58204,198,142
58205,2,2
58212,15,13
58218,26,24
58225,57,47
58228,55,38
58237,303,247
58240,50,39
58249,98,80
58251,78,65
58256,33,28
58257,103,74
58261,44,32
58274,26,21
58275,17,14
58278,92,67
58282,53,40
58301,674,516
58317,4,4
58318,192,143
58324,100,78
58329,17,15
58330,22,13
58341,143,122
58356,131,100
58366,42,32
58367,71,55
58368,217,172
58369,18,14
58377,5,4
58384,13,10
58416,4,4
58421,50,36
58425,84,63
58438,48,35
58448,4,4
58492,3,3
58501,3007,2455
58503,3705,2836
58504,2752,2134
58505,1,1
58523,265,208
58530,61,42
58541,20,17
58545,232,176
58554,2556,2016
58563,58,51
58565,32,24
58571,25,19
58575,67,51
58576,72,56
58577,142,115
58580,18,12
58601,8,8
58622,11,7
58623,81,62
58625,2,2
58630,36,26
58631,76,64
58636,16,15
58638,63,49
58639,46,37
58640,93,65
58649,13,9
58651,3,3
58652,22,16
58653,13,9
58655,18,11
58701,3825,2843
58703,2582,1864
58704,553,389
58705,73,71
58710,13,9
58722,115,80
58736,22,19
58740,46,33
58750,23,16
58761,76,64
58785,92,75
58788,63,49
58801,2034,1447
64067,329,253
64074,11,9
64097,53,43
64401,127,88
64485,1090,867
64501,2148,1598
64503,2863,2174
64504,1718,1328
64505,2768,1997
64506,5887,4222
64507,2440,1792
64628,336,262
64683,579,465
64759,139,121
64801,191,131
64836,2186,1608
64850,936,735
65233,813,626
65605,1242,956
65616,5832,4206
65624,1,1
65653,29,20
65656,39,32
